Departmental Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate IT,XEROX UK LTD,2022110179,£6
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate IT,XEROX UK LTD,2022110179,£44
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate IT,XEROX UK LTD,2022110179,£6
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate IT,XEROX UK LTD,2022110179,£12
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate IT,XEROX UK LTD,2022110179,£193
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate IT,XEROX UK LTD,2022110179,£219
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate & Support Services,XEROX UK LTD,2022110179,£5
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,LSPG,XEROX UK LTD,2022110179,£67
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,LSPG,XEROX UK LTD,2022110179,£14
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,LSPG,XEROX UK LTD,2022110179,£135
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,LSPG,XEROX UK LTD,2022110179,£44
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,LSPG,XEROX UK LTD,2022110179,£111
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,LSPG,XEROX UK LTD,2022110179,£12
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,LSPG,XEROX UK LTD,2022110179,£51
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,LSPG,XEROX UK LTD,2022110179,£45
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate & Support Services,XEROX UK LTD,2022110179,£20
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate & Support Services,XEROX UK LTD,2022110179,£33
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate & Support Services,XEROX UK LTD,2022110179,£1
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate & Support Services,XEROX UK LTD,2022110179,£444
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate & Support Services,XEROX UK LTD,2022110179,£16
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate & Support Services,XEROX UK LTD,2022110179,£73
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Corporate & Support Services,XEROX UK LTD,2022110179,£167
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,"£2,306"
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£80
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£50
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£52
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£111
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£37
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£12
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£12
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£31
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£294
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,-£22
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£564
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£4
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£202
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£68
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£6
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£451
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£153
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£19
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£13
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£7
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£247
Department for Work and Pensions,Corporate,11/08/2011,PRINTING STATIONERY IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£58
Department for Work and Pensions,Corporate,11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Shared Services,XEROX UK LTD,2022110179,£4
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£49
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£37
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£170
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£45
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,AOS CONTRACTED OUT SERVICES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,"£75,133"
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£192
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£66
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£31
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£144
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£397
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£102
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£752
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£268
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£35
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£281
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£72
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£389
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£10
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£526
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£533
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£130
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£25
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£555
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£285
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£13
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£17
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£390
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£24
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£270
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£63
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£751
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£4
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£333
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£8
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£285
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£21
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£167
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£8
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£5
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£20
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£45
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£181
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£38
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£10
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£86
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£15
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£53
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£46
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£8
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£198
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£51
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£165
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£32
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£93
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£12
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£34
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£38
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£220
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£13
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£11
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£92
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£52
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£49
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£15
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£37
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£118
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£16
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£20
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£11
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£162
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£41
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£6
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£68
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£2
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£87
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£46
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£30
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,PRINTING STATIONERY IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£135
Department for Work and Pensions,"Pension, Disability Carers Services",11/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,"Pensions, Disability & Carers Service",XEROX UK LTD,2022110179,£45
