Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",97363,16.03,Default-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",97364,9.25,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",97364,23.15,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",97364,40.00,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Rail Travel UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",97364,129.49,E&M Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Hotel & Accommodation UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",97364,394.41,E&M Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Mileage Allowance UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97365,37.80,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97366,2.70,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97366,6.99,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97366,15.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Hospitality - UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97366,39.31,BLG Devolved Admin-Hospitality - UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97366,46.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97367,25.70,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97367,59.65,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97367,157.23,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97369,5.08,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Rail Travel Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97369,10.62,K&I Devolved Admin-Rail Travel Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97369,15.82,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97369,40.00,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97369,51.14,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Hotel & Accommodation Overseas,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97369,216.58,K&I Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",97371,1.75,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",97371,12.45,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",97371,46.59,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",97371,49.95,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Mileage Allowance UK,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",97372,52.74,F&C Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Enterprise & Skills Group - Enterprise & Skills,"Personal Expense, Name Witheld",97373,8.10,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Enterprise & Skills Group - Enterprise & Skills,"Personal Expense, Name Witheld",97373,15.00,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97374,4.30,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97374,4.90,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97374,5.40,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97374,25.00,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97374,48.30,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",97375,12.00,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",97375,12.43,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",97375,42.00,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",97375,72.90,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97376,20.00,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97376,40.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97376,60.62,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97376,167.60,PSHE Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Rail Travel UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97376,174.50,PSHE Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Additions - Shares and Equities - Public Corporations,Knowledge & Innovation Group - Innovation Directorate,SERCO LTD,97386,11598600.00,British Israeli Technical Assistance-Additions - Shares and Equities - Public Corporations,RG27 7FR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),97387,101533.60,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Central Telecommunications Services,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",CABINET OFFICE,97388,-140.00,MPST Devolved Admin-Central Telecommunications Services,CF14 3UW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Learning and Dev - CS Skills,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,97389,125.00,E&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/05/2015,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,SCISYS (UK) LTD,97391,3175.64,BRDO: PA System Support-Technical Advice / Services & Support,SN14 0GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Courier Services,Legal Services - Legal Services,TNT UK LTD,97392,18.11,Legal Services Admin-Courier Services,BL8 9AR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Vocational Education Directorate,TUC,97393,38693.00,Union Learning Fund-Current Grants To Private Sector - NPISH,WC1B 3LS,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2015,Contract Cleaning,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,97394,133.34,F&C Devolved Admin-Contract Cleaning,TS19 1JA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2015,Water,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,97394,140.55,F&C Devolved Admin-Water,TS19 1JA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2015,Gas,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,97394,252.27,F&C Devolved Admin-Gas,TS19 1JA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",26/05/2015,Electricity,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,97394,511.74,F&C Devolved Admin-Electricity,TS19 1JA,WGA ONLY,,,
